SF|790806|||W3CI|P|10024280|1|LICENSE IS SUSPENDED UNTIL 9-1-2003.||
SF|568490|||KF4CQV|P|10029348|1|This license supersedes previous license of same issue date and callsign to correct the street address. kaf 7/11/00||
SF|857124|||WA6GHL|P|10029351|1|This license supersedes previous license of same date and callsign to correct mailing address city. kaf 7/11/00||
SF|529031|||KD7EVD|P|10029352|1|This license supersedes previous license of same date and callsign to correct mailing address city. kaf 7/11/00||
SF|444892|||KC5NIR|P|10029408|1|This license supersedes previous license of same date and callsign to correct applicant name. kaf 7/12/00||
SF|1084565|||WB5MPU|P|10029562|1|This license supersedes and replaces license of same date and callsign to correct street address. kaf 7/17/00||
SF|573893|||KF4LKX|P|10029564|1|This license supersedes and replaces license of same date and callsign to correct applicant name. kaf 07/17/00||
SF|319038|||KA8YLY|P|10029565|1|This license supersedes and replaces license of same date and callsign to correct street address. kaf 07/17/00||
SF|251444|||K5GSJ|P|10029566|1|This license supersedes and replaces license of same date and callsign to correct mailing city. kaf 07/17/00||
SF|905834|||WB9FRM|P|10030613|1|This license supersedes and replaces license of same date and callsign to correct mailing address. kaf||
SF|1079597|||KC8OFU|P|10030616|1|This license supersedes and replaces license of same date and callsign to correct licensee name. kaf||
SF|447021|||KC5RBA|P|10030638|1|This license supersedes and replaces license of same date and callsign to correct mailing address. kaf||
SF|1091700|||W9JST|P|10031124|1|This license supersedes and replaces license of same date and callsign to correct licensee address. kaf||
SF|701356|||N5INS|P|10031128|1|This license supersedes and replaces license of same date and callsign to correct licensee address. kaf||
SF|617183|||KN4BM|P|10031130|1|This license supersedes and replaces license of same date and callsign to correct licensee address. kaf||
SF|555629|||KE6KYO|P|10031138|1|This license supersedes and replaces license of same date and callsign to correct licensee street address. kaf||
SF|1082056|||KG4HOS|P|10031183|1|This license supersedes and replaces license of same date and callsign to correct mailing address. kaf||
SF|1089602|||KC2GOK|P|10031226|1|This license supersedes and replaces the license of same date and callsign to correct applicant name. kaf||
SF|583123|||KF6AVX|P|10031412|1|This License supersedes and replaces license of same date and call sign to correct applicant name. tef||
SF|850187|||WA4PXX|P|10031413|1|This License supersedes and replaces license of same date and call sign to correct applicant name. tef||
SF|740789|||N8FHE|P|10031629|1|THIS LICENSE SUPERSEDES AND REPLACES PREVIOUS LICENSE OF SAME DATE AND CALL SIGN TO CORRECT MAILING ADDRESS. tef||
SF|455033|||KC6HYY|P|10031630|1|THIS LICENSE SUPERSEDES AND REPLACES PREVIOUS LICENSE OF SAME DATE AND CALL SIGN TO CORRECT LICENSEE NAME. tef||
SF|411600|||KB9OAY|P|10031631|1|THIS LICENSE SUPERSEDES AND REPLACES PREVIOUS LICENSE OF SAME DATE AND CALL SIGN TO CORRECT ATTENTION NAME. tef||
