LA|215000|AA0A|C|Death certificate|03/31/2020||A
LA|215173|AA0I|P|Obituary of Licensee|06/13/2013||A
LA|215173|AA0I|P|Request for Cancellation|06/13/2013||D
LA|215173|AA0I|P|Request for Cancellation|06/13/2013||A
LA|215774|AA1MA|O|License Cancellation Request|03/07/2016||A
LA|215813|AA1O|C|Cancellation Request|04/12/2025||A
LA|215813|AA1O|C|Cancellation Request|04/12/2025||A
LA|215813|AA1O|C|Cancellation Request|04/15/2025||A
LA|215813|AA1O|C|Cancellation Request|04/15/2025||A
LA|215965|AA2A|C|Cancellation request|09/27/2024||A
LA|215965|AA2A|C|Cancellation request|09/27/2024||A
LA|215965|AA2A|C|Cancellation request|09/27/2024||A
LA|216756|AA3LU|C|Cancellation Request|11/13/2019||A
LA|217020|AA4FL|O|SwampSat II ODAR|09/18/2019||A
LA|217020|AA4FL|O|Mission Description|09/18/2019||A
LA|217020|AA4FL|O|Notification of Intent Email|09/18/2019||A
LA|217258|AA4RG|C|Cancellation request|06/03/2024||A
LA|218004|AA6AO|C|License Cancellation|07/28/2015||A
LA|218276|AA6NM|C|Death Certificate and Letter|09/03/2020||A
LA|218741|AA7IG|C|Cancellation Request|08/12/2015||A
LA|219565|AA8W|O|obituary|06/24/2020||A
LA|219732|AA9EA|P|Tribal and Local Government|09/28/2019||A
LA|219839|AA9IX|P|Tribal and Local Government|09/28/2019||A
LA|220113|AA9WD|O|adminidtrative error correction|02/27/2006||D
LA|220113|AA9WD|O|administrative error correction|02/27/2006||A
LA|220126|AA9WU|P|Tribal and Local Government|09/28/2019||A
LA|223768|AC5MU|C|Death Certificate|02/11/2019||A
LA|223987|AC6EA|Q|W6VM Vanity Call Sign|02/06/2012||A
LA|224077|AC6IK|C|Death Certificate and Letter|11/07/2022||A
LA|224769|AD4GX|C|Death Certificate|09/27/2018||A
LA|225508|AE0W|O|Obituary|03/18/2021||A
LA|225556|AE2U|C|Death Certificate|10/11/2018||A
LA|225692|AE4FB|O|Obituary|03/06/2019||A
LA|226032|AE4VC|P|Licensee ae4vc death|07/30/2014||A
LA|226306|AF1V|C|Cancellation Request|04/22/2025||A
LA|226306|AF1V|C|Cancellation Request|04/22/2025||A
LA|226815|AF9A|P|Tribal and Local Government|09/28/2019||A
LA|226832|AF9T|C|License Cancellation Request|03/16/2016||A
LA|227211|AH6CP|O|Waiver Request|04/21/2010||A
LA|227452|AH6RH|O|Waiver Request|04/21/2010||A
LA|227599|AI4D|P|Obituary for Ralph Jospeh Marotta 10-5-14|04/11/2024||A
LA|227599|AI4D|P|Signed Request to Cancel License 97.31|04/13/2024||A
LA|227599|AI4D|P|Ralph Marotta Obituary|04/13/2024||A
LA|227679|AI7A|C|Cancellation Request|11/23/2015||A
LA|227814|AJ3B|C|Cancellation request|01/22/2024||A
LA|228155|AK7K|C|Cancellation request|10/21/2024||A
LA|228155|AK7K|C|Cancellation request|10/21/2024||A
LA|228312|AL7E|C|Cancellation|02/07/2025||A
LA|228663|K0AFK|C|Death Certificate|08/21/2018||A
LA|228889|K0BJB|C|Cancellation Request|02/27/2025||A
LA|228889|K0BJB|C|Cancellation Request|02/27/2025||A
LA|228935|K0BOY|O|Obituary and Letter|01/25/2021||A
LA|228948|K0BRA|C|Death certificate|04/07/2020||A
LA|228968|K0BUF|C|Cancellation request|01/24/2024||A
LA|229206|K0DEG|O|Obituary|06/18/2019||A
LA|229277|K0DO|O|Cancellation request|10/09/2024||A
LA|229277|K0DO|O|Cancellation request|10/09/2024||A
LA|229506|K0EVU|C|Proof of Death|11/19/2015||A
LA|229506|K0EVU|C|Cancellation Request|11/19/2015||A
LA|229783|K0GPF|C|License Cancellation Request|06/02/2016||A
LA|229858|K0GYK|C|Death Certificate and Letter|04/25/2023||A
LA|230292|K0JDB|C|Death Certificate|12/04/2018||A
LA|230360|K0JM|O|Obituary|10/20/2017||A
LA|230458|K0JYZ|O|Obituary|09/13/2018||A
LA|230721|K0LLO|O|License Cancellation Request|03/25/2016||A
LA|230721|K0LLO|O|Obituary|03/25/2016||A
LA|230803|K0LXA|O|Obituary|02/01/2022||A
LA|231010|K0NX|P|Philip L Scovell K0NX FCC Cancellation|09/08/2024||A
LA|231010|K0NX|C|Cancellation request|09/08/2024||A
LA|231125|K0OU|O|Obituary|04/12/2019||A
LA|231329|K0QIH|C|Cancellation Request|04/12/2025||A
LA|231329|K0QIH|C|Cancellation Request|04/12/2025||A
LA|231329|K0QIH|C|Cancellation Request|04/12/2025||A
LA|231348|K0QMU|C|Cancellation Request|04/15/2025||A
LA|231497|K0RN|O|Cancellation Request|11/18/2014||A
LA|231531|K0RRW|O|Cancellation Request|02/27/2020||A
LA|231716|K0SW|O|Obituary|07/01/2019||A
LA|231816|K0TNU|C|Cancellation Request|04/23/2025||A
LA|231855|K0TUP|C|Cancellation Request|12/05/2019||A
LA|231880|K0TYC|C|Cancellation request|10/01/2024||A
LA|231880|K0TYC|C|Cancellation request|10/01/2024||A
LA|232241|K0WX|C|Death Certificate|11/22/2022||A
LA|232302|K0YCV|C|License Cancellation Request|03/01/2016||A
LA|232423|K0ZCO|C|Cancellation|01/31/2025||A
LA|232423|K0ZCO|C|Cancellation|01/31/2025||A
LA|232587|K1AG|C|Cancellation request|01/02/2024||A
LA|232947|K1CL|C|Cancellation Request|04/18/2025||A
LA|232947|K1CL|C|Cancellation Request|04/18/2025||A
LA|232955|K1CN|C|Cancellation Request|04/21/2025||A
LA|232955|K1CN|C|Cancellation Request|04/21/2025||A
LA|233037|K1CZ|C|Cancellation request|08/14/2024||A
LA|233037|K1CZ|C|Cancellation request|08/14/2024||A
